wallet,tx_count,total_volume,avg_tx_value,active_days,protocols_used,chain
0xa3982789cf6c0607f67f1f711f109d696aa636c7,31,0.520246828,0.016782156,87,7,polygon
0x01f1891f189b5ce5d5cffa0077eb0bb9c0e1e131,18,0,0,60,6,polygon
0x4525d2a1239e9ef9b9496c4942ed93fc3c40b3bf,390,60.00005,0.153846282,90,13,polygon
0xebb4e4f1966f35cd7920497bd4f43786f7fa864b,97,5.00001,0.051546495,76,15,polygon
0xe0e276ca5a493ea8d537a014cbb45de1b544c53a,156,17.23600701,0.110487224,5,6,polygon
0x8ac94d7068cd77483e6de2b9ad2bbc8cb0537eb2,21,0,0,89,6,polygon
0xa45bfa9b7d142d1aef5dab00772e430a4d185647,136,0,0,7,1,polygon
0xddf5ce9198ae2e57534e2aa20df8ed2ef9f10947,24,0.900000001,0.0375,85,3,polygon
0x9b4c6574785b2136021fbdfc18104625bae6e1ab,120,124,1.033333333,79,13,polygon
0xe7dbfd994dbb0585f838d8985cff25eb98cfd1ae,692,23.74300713,0.034310704,2,3,polygon
0xc36d9bf861506fa3aa922e142396fd7bcbc6b6fa,172,64.82210988,0.376872732,1,2,polygon
0x7c91c4a82f5c2b944b365b573179a9b0537eb35d,1559,150763.6223,96.7053382,71,348,polygon
0xcf862851cb0009a6245cbb0041657686893301ae,2296,884.4840056,0.385228225,90,1922,polygon
0xdbcdeb320f470d36803625256bc18a36947fcb0c,60,1.078308219,0.017971804,79,7,polygon
0x573f62492ca6fa364e104fa08b3966109382a085,243,42060.82311,173.089807,90,19,polygon
0x0fb14572fe1b43e275eee0b7ba8389033263efbf,197,28.00003,0.142132132,80,18,polygon
0x73c2755155afd141063c893c19f6b89ff659472c,7,4.00E-18,1.00E-18,2,2,polygon
0x26a293d8490355331f43bf926009e8c2c05ce7ee,1450,531.0000501,0.366206931,90,65,polygon
0x469bd984648e398807370495ada7f7b12b36ebd7,10,5.00E-18,1.00E-18,5,3,polygon
0x8f16ad466855e55721a0ca2ea236395034ae70ca,121,39.00000002,0.32231405,85,18,polygon
0xe141db473c6788f3f422bb71ebccb8abf6cf3df6,312,37.800103,0.121154176,88,22,polygon
0x7597fd42f2c33a5eccb353df0dccb88e09eadee9,12,1.10001,0.0916675,65,3,polygon
0x16e3f62d9c9d517af560bc2b16d0144c55e108aa,3772,200,0.053022269,90,3,polygon
0xd9e4e5ca2df5fbc3afedd1de0b60117ee4f30eb1,62,155,2.5,21,4,polygon
0x54e3167637136992917a228d235e1c54ad66027b,108,23.0000301,0.212963242,58,15,polygon
0x8258d0a020f7ac21edffa0924e904422b28fbda9,127,0,0,89,5,polygon
0x1ab3d06cc028c0609c461f62d08c5f8479a5442a,157,1.00E-08,6.37E-11,90,13,polygon
0xefb1dcd877514d3f03595fef157039727b688718,655,114.567018,0.174911478,80,25,polygon
0x4362921088b307934b079d8a699f89aa8dfb7af5,547,32.00005,0.058501005,89,14,polygon
0x1ce2dd13599170e8f1bb1576d106900bd707eef3,172,37.5,0.218023256,86,32,polygon
0x2f2f7d4f517fb28b3947e3cd7b125d0d781ae536,794,75.5000201,0.095088187,90,21,polygon
0xcb142fe3bcae16bee2c45e4685d1a623bfadafc0,111,1,0.009009009,83,10,polygon
0x9cd55a982074574e85f1d2cf09e27ff0274b30f3,1286,91.0000001,0.070762053,89,12,polygon
0xfcfb8f06738000beff31af70e48de654229eaf74,12,7.572688473,0.631057373,31,3,polygon
0x54ba48b8defe672fba01b83b0ace39904bbc0b14,11,0.2,0.018181818,64,4,polygon
0x3a44932bdeb62c95765039e042aa86c7bdb798ac,375,66,0.176,88,20,polygon
0xda9c48e7b3a6cf27805091c0f2beadc5fe968e03,416,53,0.127403846,81,12,polygon
0xa2a2beb2df883b035f80536b3cbe9ddcd283d2d1,92,3086.32898,33.54705413,90,13,polygon
0x66325ed4ca512051a61595730f63798e64cb2945,80,9.00002,0.11250025,77,17,polygon
0xecacd2589904c3db8ab91e6f77fd65f934b6e80e,391,17.7163563,0.045310374,38,2,polygon
0xba710bc7cbdeffd7d0f5d010fe3177816ed45720,432,15.66341357,0.036257902,80,5,polygon
0x46ba35493ac9e3fdfea79eb446c4e7377766d1ec,67,0,0,69,2,polygon
0xe2227ba48e3828a396ea80805a861ab83ad12e2b,685,243.99166,0.356192204,90,21,polygon
0x1a1be5ef5ef5b34ef822ba96bf74a54b6f3567c3,427,4.600874075,0.010774881,89,2,polygon
0x00fc51cd529c3e00fbb1ad339a0ee33af18d6201,151,0,0,90,1,polygon
0xff3d19b1d31489087f4f58bcababe0a60a0dd55d,575,8.00001,0.013913061,83,13,polygon
