wallet,tx_count,total_volume,avg_tx_value,active_days,protocols_used,chain
0xdc6ddc5179510e02edb2025a9af31a9eb62e3e3a,9,0.040498734,0.004499859,6,4,ethereum
0x63bd6fe78fa48253150585f20c61e9c99a554173,40,7.697069863,0.192426747,76,8,ethereum
0x7902330169d725e75b3d3c6955b90aae30a96f53,813,31.33931262,0.03854774,31,94,ethereum
0xb76f8dca0492d597780aca10217d9ebe54b62986,13,0.038602778,0.002969444,6,13,ethereum
0x8a1b8451a81b72a6bb3b2aa2e4a864ba620e6b5b,29,0.000722399,2.49E-05,9,16,ethereum
0x27360ee40d892032d80737b3544e17a45e743471,47,0.451985366,0.00961671,43,31,ethereum
0xb8aa4f6021e2c26ed56742f5dffe66f4f7b45a0f,14,6.20E-08,4.43E-09,5,5,ethereum
0xe0d4da79a256d1a748d9ba24a75c02e74fe5f0d7,19,1.83E-05,9.64E-07,15,3,ethereum
0xe3db046724cb3b39e521e24162f62723516da939,53,5.56E-05,1.05E-06,15,3,ethereum
0xcf23703bd6b1e8c8e1a140ebf1b362007be01cc3,9,0.266212883,0.029579209,6,6,ethereum
0xeae951093c4f4fd1daf36755d411b84011bc2d69,86,0.066920908,0.00077815,73,30,ethereum
0xde9b71e296ff4bc1b5221d87f71659dd3f04aabe,17,3.21E-05,1.89E-06,13,4,ethereum
0x43463981915923672706809f828eba533957a869,24,4.986000541,0.207750023,14,9,ethereum
0xd913ae7491c4d8ce3b2ccc7600bbaa669c554b56,14,4.90E-06,3.50E-07,13,6,ethereum
0xd7eb85398ec809562baf610eb284a6f9dbfe17aa,13,1.30E-05,9.96E-07,10,3,ethereum
0x30412a0e248d657fe20667cc88d182ac83b316b3,2580,0.03689676,1.43E-05,2,184,ethereum
0x1b6c4ca08f675a5d0b6392593789b68c3bb8d08b,10,2.49E-05,2.49E-06,6,2,ethereum
0xe1e00b02781356acdbae9068a82492fb2893bdce,196,0.134035515,0.000683855,46,24,ethereum
0x9efb192d68dcec75bc546df02940b8e485b382be,42,0.000042,0.000001,2,1,ethereum
0x5fa71de62d16d4c8a661714a744eb2cfe5490317,36,0.000036,0.000001,1,1,ethereum
0x597bfb95850af83ace4c99f8523af6b78dcf699e,82,8.87E-05,1.08E-06,5,2,ethereum
0xe7ca667fe78d67f24273f0d9048a80e9eb24f3be,102,0.000104567,1.03E-06,5,2,ethereum
0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,82,7.828056421,0.095464103,65,18,ethereum
0xf1553d3a16a241533525457846d109dee747cc23,40,4.00E-08,1.00E-09,52,1,ethereum
0x5cf3a86f60d49dfcaecb1932b31e4755a80e1665,221,0.000159913,7.24E-07,11,4,ethereum
0x6e22ffda247ff21ad28cbe7efbf8d985ff74b8d7,31,3.10E-08,1.00E-09,1,1,ethereum
0x15fa1e8b1d72b8562604ad139d69f06476e24e5b,32,3.93E-05,1.23E-06,71,3,ethereum
0x1638841f49a80e7a57c61986f29f60345f89d441,60,6.49E-05,1.08E-06,4,2,ethereum
0x5ca3781e8391f8c79c23afaeae77e7afca835d0f,273,0.00031408,1.15E-06,9,11,ethereum
0x6c21b5cbf0d5667095857f9bf4fc6320ddee56ca,9,2.90E-05,3.23E-06,1,2,ethereum
0xb5cd1b6773776a8921ff52ad17686359b0be4989,11,0.221907186,0.020173381,47,5,ethereum
0x44675a6525ab9a7a5115c7306f5ad2f59bf965f5,41,0.01757,0.000428537,83,20,ethereum
0xf4192ec156312380e808df9d2db59406feee36cb,37,0.291980714,0.007891371,80,36,ethereum
0xe33531acdf78ef33d7fd48c462664f09ab12bd93,955,0.166963473,0.000174831,75,30,ethereum
0x8a8c138fa9b524d604c3faf41b960684369500f0,97,0.001008506,1.04E-05,69,17,ethereum
0x5539efad1979b8e8e7242b57e15480df0d5aea96,16,5.00E-09,3.13E-10,58,4,ethereum
0x8e7ed7c8f7d9d0a22820b461cf6544da64d33db1,14,0.396,0.028285714,59,2,ethereum
0x27afd38fe2ffa7217ae768115e5523a5cf1622d4,17,1.74E-05,1.02E-06,17,6,ethereum
0x7eb7fd19fa4a9db52d526ed933c1053960228489,18,2.66117189,0.147842883,69,10,ethereum
0x32d7315ea013a519b32a811f99b76662e8fa6eb7,13,0.000107758,8.29E-06,2,3,ethereum
0xbb6bc6f502a48a163d2f8068e7ec2dca379898a4,15,0,0,86,1,ethereum
0x378305c2e32264b2130002aa6de22b7fecf34fa3,81,0.045449512,0.000561105,63,36,ethereum
0xfbb905affa6ba824eae3c789e36046b56c7f05ef,53,0.450923036,0.008507982,76,17,ethereum
0x96bdb402ff79430d078b66dfdb4363cc2738a4b5,51,0.441831615,0.008663365,25,3,ethereum
0x32677e1811f967ff6b9894b52474bb823bc21ac5,9,4.70E-05,5.23E-06,65,3,ethereum
0x85ca6052f3206fbf3f392437a4e106c5651e9f04,49,0.00292655,5.97E-05,69,19,ethereum
0xe03662b19b6b4c6c63477d13812b9e388412a385,39,1.28E-06,3.29E-08,72,20,ethereum
0x000e4ee12f62f0a3765a854c8bd4ba308f50380a,76,0.000839777,1.10E-05,65,5,ethereum
0xef52ce83059cd74abbe84b356bd5e16e677a17d2,229,2.637943736,0.011519405,90,13,ethereum
0xd5c89fa9fdc31050e1504a0a6c348e802103c115,97,0.000604564,6.23E-06,73,3,ethereum
0x8923a27c22a8fcc809f33529d3d3064eba52a474,36,0.000244521,6.79E-06,20,2,ethereum
0x56c17a923c44a7107bd49c974086067d50b809bc,22,4.510475376,0.205021608,56,12,ethereum
0xc93c68698e829b58ee119b078d16759a3d4165dc,60,0.00036,0.000006,74,22,ethereum
0x17f4e60481f282c0153039b53ccd9659ba9f83c7,6,0.121761385,0.020293564,2,5,ethereum
0x171a111fe4e4543f6f57f5ab8107a9a003c77268,75,0.000329661,4.40E-06,85,3,ethereum
0x79b1514549520381fb6d74c344a9a6e514aedff8,14,0,0,4,1,ethereum
0x5b72a7bb48196fe136615b5ba5556003956d2c0b,7,2.99E-05,4.27E-06,2,3,ethereum
0xe5e12b3325e5f2af27334379f8a3c771aa04c276,206,3.12E-07,1.51E-09,67,12,ethereum
0x6ad79306661b85ce5aa10056f7add34cb797005c,6,3.83E-05,6.39E-06,1,2,ethereum
0xaf763b666524d044634e5d18009de258c15827e0,30,4.79E-05,1.60E-06,62,4,ethereum
0xb327b30f3d63332acd64019f7c7387ef14964907,38,0.00025,6.58E-06,63,9,ethereum
0xc63f361ba520575adf2f60601961158d9d4760fd,42,0.00025,5.95E-06,63,9,ethereum
0x4656c6458ed596de59f25b0066ab928faf9b18e6,15,3.51E-05,2.34E-06,42,3,ethereum
0xf1a36c15c619bf17cbb45f93e83b0040365a0b73,17,0,0,10,2,ethereum
0x1b5d80be529d1c4e67de53c26eba89419a1b454b,84,0.0020099,2.39E-05,78,36,ethereum
0x84d48641f39d075a175516a940ead53b1e2ee727,247,0.080941041,0.000327697,89,3,ethereum
0xb95bd276ba8a635d658c0e7c508c97ec75b5474a,6,0.228109722,0.038018287,16,6,ethereum
0xb17bc0dacad06440ac79fdc78f397bbb78daf8ec,75,0.128890705,0.001718543,45,63,ethereum
0x25345c0b056b6866227fa4d412408fddb104c03d,93,7.56E-05,8.13E-07,12,5,ethereum
0x39ed2ae184cc1f764f14b4a6a6e06594cd68094a,22,0.000915038,4.16E-05,78,12,ethereum
0x036ded247a3423169da408805d3b4070b26a39a4,771,112.6224786,0.146073254,90,571,ethereum
0x738741b73b46f689a29bdb692bb1999d50964e20,22,0.046552094,0.002116004,73,7,ethereum
0x3e1fce3a3c2ebd7d1ca163e4f434a43c38fe5c47,47,0.003600667,7.66E-05,75,13,ethereum
0xedf3e0922108038bb5b63526b3e97ba4bcf873c2,45,5.285849606,0.117463325,66,5,ethereum
0xb1cb920ff09e1c01596860c516822c3eb59d2d98,6,0.081840535,0.013640089,22,4,ethereum
0xa6f149cf07194ce573569096efc807103790cc72,339,1.938490897,0.005718262,89,24,ethereum
0x3c0f1eb74d98de584e6b46089f94ba3086eefa9c,5581,23147.26654,4.147512371,90,1962,ethereum
0x6ebe3dee001b1d304ffd7fd1d0e954147ed4a5a9,11,0.634950239,0.057722749,3,5,ethereum
0x7b2d961d1e4ffda9e2a282c7965b7276e0fea1ac,29,0.000535413,1.85E-05,54,3,ethereum
0xd712aec192e6d76b45ca0f9b898abdc59c17b98c,30,0.004125939,0.000137531,78,21,ethereum
0x417741e8cade9da97aa22b9d1e037bb895943340,405,3.360083401,0.008296502,88,66,ethereum
0x7d3744d5cad571ab9cd5a9d6d9e42ec8985f960c,108,5.248892955,0.048600861,86,28,ethereum
0xa7624eea4c42b86ae104722bb2a2b274482b4043,275,0.002380379,8.66E-06,81,60,ethereum
0x8338182fec897e5ef922662298c90d7de6408972,129,0.55368601,0.00429214,89,17,ethereum
0x220be54c5fbe766cd501a85c27963744da551e18,23,0.000445668,1.94E-05,56,5,ethereum
0x2e73fe5abfe55df07015303041d65174cb5b2886,12,2.26E-05,1.89E-06,1,2,ethereum
0x0ce0dd43a8683c5e90e72f1340bc1576d1dcd723,6,0.17997286,0.029995477,1,5,ethereum
0x4cf5a864f11669a722ccc9e8390f6e7ed7c354a2,26,0.012072936,0.000464344,66,12,ethereum
0x76fdc5dea68e9cc6c5e020a7789791739c3a9108,239,0.007201773,3.01E-05,86,12,ethereum
0xe05e14a4282c8eda7d5c9a0447ee767075229ca4,37,2.639830432,0.071346768,26,10,ethereum
0x1801468f9c8decf500c5a90152eda639d3fbb41a,28,0.941059615,0.033609272,86,21,ethereum
0x6cb86804db72d7f6bd4c5efc237c79bc92d2cc5c,20,0.000371106,1.86E-05,56,5,ethereum
0xcb5fa81cabe6397d380dd1e476744c0351ae339f,7,7.80E-05,1.11E-05,3,3,ethereum
0x0c979d0c07ad1bede6cdf60498ac26d38a3743cf,273,1.647687076,0.006035484,87,58,ethereum
0xa897b5f1bc198839642e5a13d9c33411422b8cd0,129,26.70660783,0.207027968,90,19,ethereum
0x2a613d0ec4b1e3b378d80b4789d50ec9d20513ae,38,3.014922886,0.079340076,63,14,ethereum
0xed3479d90af9174200b416a5b0517cf6b654e689,10,0.000117274,1.17E-05,4,2,ethereum
0x49c2999282ba3c62d7e67f80893e2290da49e9e4,16,6.92E-05,4.33E-06,28,3,ethereum
0xed3487c3ccfba3a5ede96619a617ee33a0f4e689,45,4.50E-08,1.00E-09,32,1,ethereum
0x62142a8cf13a06882a2f9c501fe6fc86ad5a73d3,11,1.10E-07,1.00E-08,2,1,ethereum
0x639a940917e5a45ae9aa266721549fd2cdd9c411,139,14.26998271,0.102661746,26,28,ethereum
0x1a45cfbe4edad635db641a5e0dc9128a7cd7e99f,55,3.131679703,0.056939631,66,19,ethereum
0xaa8b47e2664486ee6d68e38e34f3546deda2d163,31,8.93E-05,2.88E-06,7,2,ethereum
0x437af6b0aa259bbb2eff8d8a62a28286b624063a,66,3.96E-05,6.00E-07,4,2,ethereum
0x8b6b099c9cb2fd755513438d0eb0fb267a045092,10,0.165228045,0.016522804,34,7,ethereum
0xf99c33e348a128b511bb18fc0eb665ddf9f5ac90,6,6.00E-08,1.00E-08,2,1,ethereum
0x5815c81c1d2fb0f8eb89fd2c454945fc7803dab0,1302,6.10E-08,4.69E-11,90,40,ethereum
0xfc7f2df8a291b07a8ea370fc1e26ed75a4488d69,243,1.460694952,0.00601109,89,38,ethereum
0xc61da5c6577c887101930bd7e5a613b41085d83e,39,1.696900676,0.043510274,12,6,ethereum
0x11ee14c862c8e4b741f78f55cacb64f72dab6a3a,52,4.75E-05,9.14E-07,7,2,ethereum
0xeb076c1eb499cfbc3f93fee076e0438df34ddf50,24,3.39E-05,1.41E-06,3,2,ethereum
